Overall Qual,Year Remod/Add,Mas Vnr Area,TotRms AbvGrd,BsmtFin SF 1,MS Zoning,Street,Land Contour,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Paved Drive,Sale Type,Sale Condition,Neighborhood_Grouped,HouseStyle_Simple,TotalSF,TotalBath,Qual_x_Area,Age,YearsSinceRemodel,TotalPorchSF,HasBasement,HasBasement,HasGarage,HasFireplace,BathPerBedroom,QuarterSold,PricePerSF,LotShape_Score,SalePrice
4,1972,0.0,3,150.0,RM,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,GLQ,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,MeadowV,SingleStory,1260.0,2.0,2520,38,38,24,1,1,0,0,2.0,2,59.92063492063492,3,75500
4,1970,0.0,5,0.0,RM,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,MeadowV,MultiLevel,1638.0,1.5,4368,40,40,0,1,1,0,0,0.5,2,53.876678876678874,3,88250
4,1972,0.0,5,294.0,RM,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,MeadowV,MultiLevel,1638.0,1.5,4368,38,38,64,1,1,1,0,0.5,2,52.1978021978022,3,85500
5,2004,0.0,5,469.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,ConLD,Normal,Mitchel,SingleStory,1738.0,1.0,4370,39,6,0,1,1,1,0,0.3333333333333333,2,74.79861910241657,3,130000
5,1962,189.0,6,593.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,P,WD ,Normal,Mitchel,SingleStory,2376.0,1.0,5940,48,48,39,1,1,1,0,0.3333333333333333,2,66.45622895622895,2,157900
5,1984,0.0,5,207.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Mn,Rec,GLQ,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Mitchel,SingleStory,1666.0,2.0,4165,26,26,0,1,1,1,0,1.0,2,89.97599039615847,3,149900
5,1986,0.0,10,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,Duplex,Gable,CompShg,HdBoard,HdBoard,None,TA,Po,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Mitchel,MultiLevel,3648.0,5.0,12160,25,24,0,1,1,1,0,1.25,1,43.58552631578947,3,159000
5,1991,0.0,6,458.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Mitchel,MultiLevel,1898.0,1.5,6370,19,19,0,1,1,1,0,0.5,1,71.65437302423604,3,136000
5,1969,0.0,8,476.0,RL,Pave,Lvl,Inside,Mod,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,Mitchel,MultiLevel,2343.0,2.0,7395,41,41,280,1,1,1,0,0.4,2,68.715322236449,2,161000
8,1995,0.0,6,1341.0,RL,Pave,Lvl,Inside,Mod,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,Gd,Gd,GLQ,LwQ,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Mitchel,SingleStory,3482.0,4.0,14424,16,15,286,1,1,1,1,1.3333333333333333,1,81.84951177484204,3,285000
6,1994,0.0,7,944.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Mitchel,MultiLevel,2949.0,3.5,10782,17,16,312,1,1,1,1,1.1666666666666667,1,78.33163784333672,3,231000
6,1956,0.0,5,564.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Fa,Fa,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,1764.0,1.0,5292,53,53,0,1,1,1,0,0.5,4,70.578231292517,2,124500
6,1974,440.0,7,844.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,2868.0,3.0,8604,35,35,21,1,1,1,1,0.75,2,54.741980474198044,3,157000
8,1995,0.0,9,1410.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Wd Sdng,None,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NAmes,SingleStory,4656.0,3.5,21632,37,14,111,1,1,1,1,0.875,3,74.0979381443299,3,345000
6,1997,0.0,7,847.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2553.0,2.5,9648,12,12,30,1,1,1,1,0.8333333333333334,3,74.22640031335683,2,189500
8,2003,188.0,9,850.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,3291.0,2.5,18264,6,6,46,1,1,1,1,0.625,3,82.04193254329991,2,270000
7,1997,32.0,7,284.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,2012.0,2.5,11396,13,12,72,1,1,1,1,0.8333333333333334,2,93.93638170974155,3,189000
9,2007,160.0,7,1320.0,RL,Pave,HLS,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,Gilbert,SingleStory,3492.0,3.0,15714,3,2,39,1,1,1,1,1.0,4,108.10423825887743,2,377500
7,1996,22.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,1858.0,2.5,10318,14,13,72,1,1,1,1,0.8333333333333334,2,90.68891280947255,2,168500
8,2005,0.0,8,1965.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,4730.0,3.0,20176,5,4,57,1,1,1,1,3.0,4,79.28118393234672,2,375000
8,2000,0.0,5,1158.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,StoneBr,SingleStory,3160.0,3.0,13272,9,9,59,1,1,1,1,1.5,4,87.9746835443038,2,278000
8,1998,0.0,5,341.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,StoneBr,SingleStory,2896.0,3.0,11824,11,11,43,1,1,1,0,1.5,3,82.87292817679558,2,240000
8,1996,0.0,6,741.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,3321.0,3.0,13872,14,13,50,1,1,1,0,1.5,3,72.11683227943391,2,239500
7,1998,0.0,7,189.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,1766.0,2.5,9674,11,11,0,1,1,1,1,0.8333333333333334,1,100.50962627406568,2,177500
7,1998,40.0,7,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2550.0,2.5,12026,11,11,385,1,1,1,1,0.8333333333333334,4,72.54901960784314,2,185000
6,1999,0.0,7,476.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2588.0,3.5,9816,11,10,84,1,1,1,1,1.1666666666666667,4,73.80216383307574,3,191000
6,1994,0.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2370.0,2.5,9426,16,15,40,1,1,1,1,0.8333333333333334,2,75.10548523206751,2,178000
6,1993,68.0,6,310.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,Ex,Gd,PConc,Gd,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2150.0,2.5,8820,16,16,63,1,1,1,1,0.8333333333333334,2,86.04651162790698,1,185000
6,1995,0.0,7,600.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2223.0,3.5,9096,15,14,46,1,1,1,1,1.1666666666666667,3,81.56365272154746,2,181316
6,1993,45.0,6,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,SingleStory,2371.0,2.0,7140,16,16,21,1,1,1,1,0.6666666666666666,4,70.01265288907634,3,166000
6,1993,0.0,7,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2401.0,2.5,9558,17,16,40,1,1,1,1,0.8333333333333334,4,74.13577675968347,2,178000
6,1995,0.0,6,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2183.0,2.5,8886,15,14,36,1,1,1,1,0.8333333333333334,1,79.70682546953734,3,174000
6,1992,106.0,6,560.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,SingleStory,2325.0,3.0,7002,17,17,26,1,1,1,0,1.0,3,74.40860215053763,2,173000
7,1999,344.0,9,694.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Gilbert,MultiLevel,2961.0,2.5,13881,10,10,0,1,1,1,1,0.8333333333333334,2,75.98784194528875,2,225000
7,1990,0.0,5,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,Gilbert,SingleStory,2866.0,2.0,10094,19,19,542,1,1,1,0,0.6666666666666666,2,62.97976273551989,3,180500
8,1984,0.0,4,1036.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,TwnhsE,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Y,COD,Abnorml,StoneBr,SingleStory,2580.0,2.0,10880,25,25,0,1,1,1,1,2.0,3,72.67441860465117,2,187500
9,2009,748.0,9,1904.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,New,Partial,StoneBr,SingleStory,4450.0,3.0,20106,1,0,60,1,1,1,1,3.0,3,112.7723595505618,2,501837
8,2008,464.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,New,Partial,StoneBr,SingleStory,4092.0,2.5,16368,1,1,82,1,1,1,1,0.8333333333333334,3,91.03128054740958,2,372500
7,2005,16.0,7,1274.0,RL,Pave,Low,Inside,Mod,Norm,Norm,1Fam,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,StoneBr,SingleStory,3060.0,3.0,10710,4,4,36,1,1,1,1,1.0,2,84.9673202614379,2,260000
5,1977,157.0,6,400.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,P,WD ,Normal,Gilbert,MultiLevel,3056.0,3.5,9670,32,32,376,1,1,1,1,1.1666666666666667,3,60.53664921465968,3,185000
7,1980,278.0,10,692.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,CBlock,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Ex,Typ,Y,WD ,Normal,NWAmes,MultiLevel,3198.0,3.5,16471,29,29,195,1,1,1,1,0.875,3,81.30081300813008,2,260000
6,1998,0.0,7,0.0,RL,Pave,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,Gd,Fa,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,2948.0,2.0,9516,30,11,0,1,1,1,1,0.6666666666666666,1,61.39755766621438,2,181000
7,1977,209.0,6,822.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Family,NWAmes,SingleStory,2797.0,2.0,9877,32,32,0,1,1,1,1,0.6666666666666666,2,29.495888451912762,3,82500
6,2000,126.0,8,1246.0,RL,Pave,Lvl,FR2,Gtl,Norm,Norm,1Fam,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NWAmes,SingleStory,3204.0,2.5,9612,32,9,0,1,1,1,1,0.8333333333333334,2,67.103620474407,2,215000
7,1978,256.0,8,0.0,RL,Pave,Lvl,Inside,Gtl,RRNn,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Abnorml,NWAmes,MultiLevel,2882.0,2.5,14350,31,31,192,1,1,1,1,0.625,2,53.43511450381679,2,154000
6,1986,101.0,7,363.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,3098.0,2.0,10026,31,23,55,1,1,1,1,0.6666666666666666,3,64.55777921239509,3,200000
7,1991,229.0,9,602.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NWAmes,MultiLevel,3716.0,2.5,18711,29,18,84,1,1,1,1,0.625,3,67.0075349838536,2,249000
7,1980,225.0,6,1036.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,2844.0,3.0,10304,29,29,48,1,1,1,1,1.0,2,65.92827004219409,3,187500
6,1998,144.0,7,832.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,TA,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,2847.0,2.0,10242,31,11,0,1,1,1,1,0.6666666666666666,2,64.6294344924482,3,184000
8,1981,0.0,9,1104.0,RL,Pave,Lvl,Inside,Gtl,PosN,Norm,1Fam,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NWAmes,SingleStory,5048.0,3.5,20192,28,28,120,1,1,1,1,0.875,3,55.07131537242472,3,278000
7,1978,206.0,7,704.0,RL,Pave,Lvl,Inside,Gtl,RRAn,Norm,1Fam,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,COD,Abnorml,NWAmes,SingleStory,2872.0,2.0,11207,31,31,0,1,1,1,1,0.6666666666666666,2,54.66573816155989,2,157000
7,1976,189.0,6,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Family,NWAmes,SingleStory,2460.0,2.0,9590,33,33,0,1,1,1,1,0.6666666666666666,2,61.78861788617886,3,152000
5,1976,44.0,9,381.0,RL,Pave,Lvl,CulDSac,Gtl,PosN,Norm,1Fam,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NWAmes,MultiLevel,2648.0,3.5,9340,33,33,96,1,1,1,1,0.875,4,74.58459214501511,2,197500
7,2003,0.0,7,622.0,FV,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Y,WD ,Normal,Somerst,MultiLevel,2810.0,3.5,13188,6,6,35,1,1,1,1,1.1666666666666667,2,85.72953736654804,3,240900
8,2009,110.0,8,544.0,FV,Pave,Lvl,Inside,Gtl,RRAn,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,New,Partial,Somerst,MultiLevel,2767.0,3.5,15480,0,0,150,1,1,1,0,1.1666666666666667,4,95.20599927719552,2,263435
8,2001,0.0,7,0.0,FV,Pave,Lvl,Inside,Gtl,RRNn,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Somerst,MultiLevel,2932.0,2.5,14992,9,8,134,1,1,1,1,0.8333333333333334,1,75.03410641200546,3,220000
8,2002,0.0,7,225.0,FV,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,Y,WD ,Normal,Somerst,MultiLevel,2783.0,2.5,14488,7,7,48,1,1,1,1,0.8333333333333334,4,84.44125044915559,3,235000
5,1975,161.0,7,1333.0,RL,Pave,Lvl,CulDSac,Gtl,PosN,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,3242.0,3.0,8105,34,34,490,1,1,1,1,1.0,2,65.70018507094386,2,213000
6,1974,196.0,6,888.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,2232.0,3.0,6696,35,35,0,1,1,1,1,1.0,2,75.22401433691756,3,167900
7,1975,0.0,5,636.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,2369.0,2.0,8351,34,34,0,1,1,1,1,0.6666666666666666,3,66.6948079358379,2,158000
6,1974,174.0,7,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NWAmes,SingleStory,2414.0,2.0,8100,35,35,0,1,1,1,1,0.6666666666666666,3,68.35128417564209,3,165000
6,1972,333.0,7,0.0,RL,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,COD,Abnorml,NWAmes,SingleStory,2808.0,2.5,12714,37,37,104,1,1,1,1,0.8333333333333334,3,56.267806267806264,2,158000
5,1974,0.0,8,0.0,RL,Pave,Lvl,FR2,Gtl,Norm,Norm,Duplex,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,MultiLevel,2688.0,3.0,8960,35,35,45,1,1,0,0,0.75,3,50.595238095238095,3,136000
5,1970,76.0,5,828.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,2004.0,2.0,5010,39,39,0,1,1,1,0,0.6666666666666666,3,74.10179640718563,2,148500
6,2005,0.0,5,439.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,GLQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,Y,WD ,Normal,NAmes,SingleStory,2052.0,2.0,6156,40,4,48,1,1,1,0,0.6666666666666666,3,76.0233918128655,3,156000
5,1970,0.0,6,0.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,COD,Normal,NAmes,SingleStory,2360.0,1.5,5900,39,39,45,1,1,1,0,0.75,1,54.23728813559322,2,128000
5,1971,178.0,6,500.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Y,WD ,Normal,NAmes,SingleStory,2093.0,2.5,5250,38,38,0,1,1,1,0,0.8333333333333334,3,68.32298136645963,2,143000
4,1970,0.0,5,726.0,RL,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Y,WD ,Abnorml,NAmes,SingleStory,1728.0,2.0,3456,39,39,0,1,1,1,0,0.6666666666666666,3,44.270833333333336,3,76500
